Link,Title,Location,Summary
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47332514,Hardware Functional Safety Engineer - Automotive,서울종로구,"인증심사원, 품질보증, 자동차, 컨설팅 등록일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47302420,"Solution Product Manager (마케팅:서비스,렌탈영업 경력)",서울송파구,"렌탈영업, 렌탈, 판매 등록일 24/01/04"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47306300,[한국필립모리스] Specialist Talent Acquisition(서울),서울영등포구,"채용담당자, 잡매니저, 헤드헌터, 온보딩, 인사기획 외 등록일 24/01/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47022060,한국이네오스스티롤루션 Account Sales Manager 채용,서울강남구,"기술영업, 영업관리, 해외영업, 영업, 기타제조업 수정일 24/01/02"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47363518,[IKEA 기흥점] 인테리어 디자인 사원 모집,경기용인시 기흥구,"공간디자인, 실내디자인, 인테리어, 가구·침구·소품 등록일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47075856,[Danfoss Korea] 댄포스코리아 Application Engineer,서울중구,"기술엔지니어, 전기설계, 전기제어, 전기기사, 전기설비 외 등록일 23/11/29"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47384422,[한국얀센] Medical Science Liaison (Contractor),서울용산구,"컴플라이언스, 임상시험, 제약/바이오, R&D, MSL 외 등록일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47301700,[강남/외국계기업] 마케팅/브랜딩 Specialist 채용,서울강남구,"영업직, 시스템영업, 영업마케팅, 영업전략, 마케팅기획 외 등록일 24/01/04"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47380805,[판교] GE Vernova Customer Care Specialist [1Y4M /산휴대체],경기성남시 분당구,"고객관리, 의약·제약, 의료·보건, 생명공학 등록일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47380707,[판교] GE Vernova Customer Care Specialist [1Y4M /육휴대체],경기성남시 분당구,"고객관리, 의약·제약, 의료·보건, 생명공학 등록일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47332529,Software Functional Safety Engineer - Automotive,서울종로구,"인증심사원, 품질보증, 자동차, 컨설팅 등록일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47354629,[Michelin Guide Korea] Digital Content Editor (Freelancer),서울송파구,"에디터, 작가, 크리에이터, 마케팅기획, 콘텐츠기획 외 등록일 24/01/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47069546,Senior Account Manager 경력직 채용 -B2B 영업,서울송파구,"거래처관리, 거래처영업, 기업영업, 영업, B2B 외 수정일 24/01/03"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47254038,[외국계] 제조 Operation Manager (부장/이사급),충북보은군,"제조, 프라스틱제조 등록일 23/12/28"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47323602,Naval Architect with Excellence in Business Development,서울중구,"해상운송, 사업기획, 해운, 해상운송 수정일 24/01/08"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47262055,"마케팅 Product Manager, EDS (Essential Dental Solution)",서울송파구,"마케팅기획, 마케팅전략, 비즈니스마케팅, 프로덕트마케팅, 마케팅 외 등록일 23/12/29"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47404695,[도장 자동화 시스템 (로봇)] Robot Teacher (신입),울산북구,"로봇엔지니어, 로봇설계, 기술엔지니어, 기계설계, 생산 외 등록일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47339355,"[티맵모빌리티] Staff 직무 채용 (구매, 전략기획, M&A, PR)",서울중구,"IPO, 기업홍보, 언론홍보, 경영기획, 사업기획 외 수정일 24/01/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47227828,Finance Manager,서울용산구,"회계, 재무, IFRS, 무역업 수정일 23/12/22"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47306331,[한국필립모리스] Specialist Talent Acquisition(양산),경남양산시,"채용담당자, 잡매니저, 헤드헌터, 온보딩, 인사기획 외 등록일 24/01/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47062596,(주)트렉시 고객 서비스팀 C/S 담당자 신입/경력직 채용,서울마포구,"CS관리, CS, 게시판관리, 교환/반품, 메일상담 외 수정일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47377898,외국계 의료기- QA/RA(대리/과장),서울강남구,"RA, 의약·제약, 의료·보건 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47399179,컨슈머헬스 사업부 RA Associate (육휴대체 20개월 계약직),서울영등포구,"인/허가, 약사, RA, 생명과학, 의약외품연구 외 수정일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47404154,[메드트로닉코리아] 계약직 Assoc Marketing Specialist,서울강남구,"의료기기영업, 마케팅기획, 마케팅전략, 기업홍보, 디지털마케팅 외 수정일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47371292,외국계도장설비기업-Process Engineer,서울구로구,"기술엔지니어, 설계엔지니어, 공정설계, 기계설계, 자동화설계 외 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44519382,[Poker] Project Manager for Development,서울강남구,"PL(프로젝트리더), PM(프로젝트매니저), PMO, PO(프로덕트오너), 소프트웨어개발 수정일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47354450,인비절라인코리아 (iTero) Sales Support Administrator 채용,서울강남구,"영업지원, 판매 등록일 24/01/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47375083,[노벨리스] 구매팀 신입 채용(영주 근무),경북영주시,"구매관리, 구매기획, 개발구매, 거래처관리, 구매 외 등록일 24/01/15"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47019808,"Application Engineer (신입, 경력)",서울영등포구,"정보통신, R&D, 전자제어, R, 통신 외 수정일 23/11/22"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47272808,국내 세일즈 영업 경력직 모집 [외국계회사],서울강남구,"기술영업, 영업직, 네트워크영업, 해외영업, IT영업 외 수정일 24/01/02"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47332303,[홈헬스케어] 서울/경기 의료장비 기술지원 엔지니어 (신입가능),서울송파구,"고객안내, 고객응대, 기계수리, 의료기기 등록일 24/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47310282,[외국계 솔루션] 해외영업 (기술) 신입/경력 채용,서울서초구,"기술영업, 해외영업, 영업, 솔루션업체, 소프트웨어개발 등록일 24/01/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47178987,Service Planner/Scheduler 43006 Field Operations Dispatcher,강원평창군,"기획, 환경 수정일 24/01/10"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47073955,[카고파트너코리아] 외국계포워딩 영업사원을 모십니다.,서울강서구,"항공운송, 포워더, 물류관리, 영업, 고객관리 외 등록일 23/11/29"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47042832,[외국계 제약] 정규직 마케팅 Product Manager,서울강남구,"제약영업, 마케팅기획, 마케팅전략, 프로덕트마케팅, 마케팅 외 등록일 23/11/23"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47403239,하이온넷(주) 웹 마케팅 업무 담당자 모집 [정규직],서울구로구,"블로그마케팅, SNS마케팅, 온라인마케팅, 검색광고, 키워드광고 외 수정일 24/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47173546,[Maersk Contract Logistics] 3PL Account Manager,서울강남구,"물류관리, 재고관리, 창고관리, 물류기획, 유통관리 외 수정일 23/12/22"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47352315,IDC 기술지원 엔지니어 모집 [정규직],서울구로구,"기술지원, SE(시스템엔지니어), 네트워크, 방화벽, 정보통신 외 등록일 24/01/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47356457,[수입코스메틱브랜드] Account Manager(5-7년차),서울강남구,"기획MD, 리테일MD, 바잉MD, 브랜드MD, 유통MD 외 등록일 24/01/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47294334,[랩도쿠] 컨텐츠 담당자 채용,서울강남구,"촬영감독, 콘텐츠기획, 콘텐츠에디터, 콘텐츠디자인, 조명 외 등록일 24/01/03"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47311880,[홈헬스케어] 부산 의료장비 기술지원 엔지니어 (신입가능),부산북구,"고객안내, 고객응대, 기계수리, 의료기기 수정일 24/01/08"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47262373,화평법 화관법 컨설턴트 신입 채용 (졸업예정자),서울중구,"컨설턴트, 지속가능경영, ESG, BPR, 화학물질 외 등록일 23/12/29"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47388705,외국계 스포츠 패션회사 - FP&A Manager,서울강남구,"재무, 재무기획, 헤드헌팅 등록일 24/01/16"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47361501,[중견제약그룹사] 바이오사업부 / 밸리데이션팀,충북제천시,"해외시장개척, 제약/바이오, QA, 공정설계, 기술기획 외 등록일 24/01/12"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47175963,[YG PLUS] IP Strategy그룹: IP 전략기획팀(신입/경력),서울영등포구,"사업기획, 전략기획, CEO, 기획, 인큐베이팅 외 수정일 23/12/14"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47256339,[Trip.com Group] Marketing Campaign Specialist,서울종로구,"광고캠페인, 여행사 수정일 24/01/03"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47381723,[MaxMara] MD Assistant Mgr.~Mgr. (Childcare Leave Backup),서울강남구,"기획MD, 수입유통 수정일 24/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47311557,(주)하이온넷 자사 서비스 고객 상담,서울구로구,"기술지원, SE(시스템엔지니어), 네트워크, 방화벽, 정보통신 외 등록일 24/01/05"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47281033,"마케팅 Product Manager, OAS(Suresmile) & Equipment",서울송파구,"마케팅기획, 마케팅전략, 비즈니스마케팅, 프로덕트마케팅, 마케팅 외 수정일 24/01/11"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47270790,네트워크 보안 기술지원 엔지니어 모집 [정규직],서울구로구,"기술지원, SE(시스템엔지니어), 네트워크, 방화벽, 정보통신 외 등록일 24/01/02"
